,id,response,true_score
390,13155,"mRNA attaches to a strand of rRNA in a ribosome; tRNA codons, carrying amino-acids, attach to the rRNA according to the rRNA base sequence; the amino-acids carried by the tRNA link together with peptide bonds; a stop codon carried by the mRNA interrupts the process when the protein is completed and allows it to leave the ribosome.",3
391,13156,The DNA splits producing RNA.,0
392,13157,The mRNA leaves the nucleus and moves to the ribosomes where rRNA finds complementary bases to be paired up with the DNA strand. The other strand is used to make an RNA strand with the tRNA.,1
393,13158,Mitochondria Chromosomes Ribosomes,0
394,13159,"The 4 major steps are mRNA leaving the nucleus, then gets moved over to the ribosomes, then it gets put with the anticodons,  and the last part the proteins get formed into a chain type, resulting in protein synthesis.",1
395,13160,"After the mRNA leaves the nucleus, it then shifts into tRNA which transports proteins across the cell. After the proteins had been transported, the process of RNA is shown, and it starts to build a RNA molecule. After the RNA molecule is formed, it then forms one side of a DNA molecule, then a DNA molecule is formed.",0
396,13161,mRNA gets and amino acid from there the amino acid goes to tRNA and then is attached to nucleotides which forms a protein,0
397,13162,"gives a message to organisms, sends for ribosomes, goes back to nucleus, and gets more messages",0
398,13163,Things in your body that give more oxygen each time.,0
399,13164,"its almost like DNA but its not, because its proceeds protein, mRNA and mDNA his the saming meaning, but it different because DNA is well blood  and mRNA is protein",0
400,13165,"The Amino acids, the DNA and the RNA",0
401,13166,"moves through the nucleus to the outside of the cell caring the amino acid code to be transcribes, tRNA. translation then you have proteins.",0
402,13167,The mRNA exits the nucleus and links to a ribosome. The ribosome attracts amino acids and they match up with their corresponding nucleotides.,1
403,13168,"Well  starting with mRNA you need to know everything about the DNA, and the tRNA. Then you need to figure out the nucleotides, amino acids and what not. And also the strands of the DNA. Then finally once you get to the end of the single or double stranded DNA's you will have what you need to know.",0
404,13169,Protein synthesis gives messages to the mRNA. the mRNA gives the messages to the tRNA. the tRNA transfers the RNA to the rRNA. The rRNA sends the messages to the gRNA.,0
405,13170, mRNA leaves the nucleus2 mRNA separtes3 mRNA is absorbed by the endoplasmic reticulam4 mRNA is now protein,1
406,13171, The amino acids have to leave the nucleus to make a copy of their protien.  Then the Amino acids break apart to create a different combination of portiens.  The amino acids then creates a new strand of codons to make up a protein.,1
407,13172,"First it travels along to the ribosomes. Next, the ribosomes give the mRNA its proper tRNA, which has a strand of amino acids. Then, it is sent off. Finally, the process is repeated.",1
408,13173,"The mRNA goes to the nucleus. The mRNA is read by the rRNA. The tRNA gets the amino acids. The amino acids match up with their partners, creating proteins.",1
409,13174,"mRNA leaves the nucleus, travels to the endoplasmic reticulum, then to cell membrane and exits the cell.",1
410,13175,mRNA must leave the system in four ways  must be brokendown  transferred into energy made into a waste product moved out of the system,0
411,13176,"Anaphase, Metaphase, Interphase, and Telophase.",0
412,13177,"Photosynthesis, Oxygen Diffusion, Surface Area, And Cellular Communication.",0
413,13178,The mRNA leaves the nucleus.,0
414,13179,"After the mRNA, than the tRNA comes along to translate what the message says. After it does that, than the tRNA takes the information to the strand where it will be matched with the correct gene.",0
415,13180,DNA rRNA mRNA tRNA,0
416,13181,"Well when mRNA leaves the nucleus, the first step is..",0
417,13182,The mRNA leaves the nucleus and gives the information to the rRNA who makes the ribonucleic acid and transports it to the tRNA who helps turn it into codons and translates it into amino acids.,1
418,13183,"First the strand of DNA is unzipped. Then the mRNA makes of a copy of RNA. An anticodon is attached to the other side of the RNA. Then for every codon, a protein is formed. The protein breaks off and the process is started over again.",0
419,13184,prophase interphase anaphase metaphase,0
